id,surfweight,year,age,sex,ethnicity,edu,lfs,partner,parent,number_children,tenure,hh_income,nzdep,migrant,disability,home_afford,life_satisfy,life_worth,health,tereo,gov_tereo,selfactual,trust,trust_police,trust_media,trust_parliament,voted,mwb,housecold,housedamp,moves,access_med,access_green,access_pt,neigh_connect,neigh_crime,victim,discrim,lonely,hardtalk,surfweight_1,surfweight_2,surfweight_3,surfweight_4,surfweight_5,surfweight_6,surfweight_7,surfweight_8,surfweight_9,surfweight_10,surfweight_11,surfweight_12,surfweight_13,surfweight_14,surfweight_15,surfweight_16,surfweight_17,surfweight_18,surfweight_19,surfweight_20,surfweight_21,surfweight_22,surfweight_23,surfweight_24,surfweight_25,surfweight_26,surfweight_27,surfweight_28,surfweight_29,surfweight_30,surfweight_31,surfweight_32,surfweight_33,surfweight_34,surfweight_35,surfweight_36,surfweight_37,surfweight_38,surfweight_39,surfweight_40,surfweight_41,surfweight_42,surfweight_43,surfweight_44,surfweight_45,surfweight_46,surfweight_47,surfweight_48,surfweight_49,surfweight_50,surfweight_51,surfweight_52,surfweight_53,surfweight_54,surfweight_55,surfweight_56,surfweight_57,surfweight_58,surfweight_59,surfweight_60,surfweight_61,surfweight_62,surfweight_63,surfweight_64,surfweight_65,surfweight_66,surfweight_67,surfweight_68,surfweight_69,surfweight_70,surfweight_71,surfweight_72,surfweight_73,surfweight_74,surfweight_75,surfweight_76,surfweight_77,surfweight_78,surfweight_79,surfweight_80,surfweight_81,surfweight_82,surfweight_83,surfweight_84,surfweight_85,surfweight_86,surfweight_87,surfweight_88,surfweight_89,surfweight_90,surfweight_91,surfweight_92,surfweight_93,surfweight_94,surfweight_95,surfweight_96,surfweight_97,surfweight_98,surfweight_99,surfweight_100
11,1921.758,2021,2,1,4,2,3,0,0,0,3,1,1,1,0,10,4,3,3,1,4,5,7,7,4,77,1,10,2,1,,,,,,1,0,0,2,2,1966.367,1935.357,2089.831,1849.773,1890.115,1878.66,2192.704,2165.807,2584.914,2121.065,2206.527,170.0703,1958.29,1860.307,1899.755,2011.095,1894.754,1907.819,1888.609,1950.689,1961.88,1921.819,1942.736,1907.173,1862.145,2062.006,1877.572,1959.205,1882.832,1876.21,1894.524,1895.863,2009.038,1959.814,1951.915,1883.277,1918.289,1889.84,1930.192,1919.652,1922.715,1927.089,1907.207,1910.27,1930.803,1914.653,1909.612,1908.755,1925.303,1910.14,1953.71,1924.257,1924.491,1918.167,1930.215,1901.21,1911.66,1915.194,1965.861,1902.243,1913.172,1878.952,1904.268,2027.091,1937.429,1909.028,1885.641,1947.833,1865.969,1949.957,1898.352,1950.75,1909.79,2002.386,1902.005,1890.507,1935.653,1884.886,1914.181,1939.331,1930.54,1938.988,1916.394,1920.217,1901.895,1922.347,1924.362,1906.255,1909.605,1896.176,1911.721,1905.844,1909.526,1948.841,1892.962,1934.476,1889.76,1945.92,1927.033,1966.173
12,8762.334,2021,3,0,4,1,1,1,1,4,1,3,7,2,0,5,8,9,5,2,4,5,7,9,3,7,1,16,1,1,,,,,,4,0,0,3,3,8889.569,8788.694,9644.568,8436.554,8418.832,8294.452,10052.16,10002.03,11729.5,10091.28,10007.96,761.8396,8631.968,8808.391,8637.521,9229.237,8527.781,8605.257,8694.892,8674.145,9154.091,9018.071,8713.991,8595.784,8640.164,9237.041,8716.814,8882.421,8616.876,8576.728,8669.98,8630.565,8948.237,8798.048,8885.771,8711.833,8594.477,8523.354,8722.252,8732.531,8814.65,8764.529,8728.425,8762.723,8526.745,8773.531,9127.558,8741.269,9177.416,8775.817,8817.313,8655.784,8597.654,8689.646,8695.494,8843.896,8907.445,8903.969,8783.572,8689.26,8684.188,8921.09,8637.918,8664.398,8713.135,8770.124,8697.444,8800.815,8821.671,8970.392,8736.925,8629.036,8653.958,9092.357,8563.764,8780.705,8734.275,8639.737,8864.622,8899.183,8753.729,8782.879,8648.265,8646.422,8685.295,8820.449,8853.393,8734.023,8759.447,8757.27,8691.844,8842.333,8696.12,8807.846,8839.502,8742.659,8714.497,8721.433,8860.902,8840.076
13,1437.464,2021,3,0,4,2,3,1,1,3,3,3,7,1,0,6,8,9,2,2,5,4,7,8,7,10,1,8,3,2,,,,,,3,0,0,1,2,1467.248,1532.53,1651.847,1340.66,1329.496,1335.751,112.076,1569.483,1982.132,1598.219,1635.636,1831.536,1431.36,1441.702,1400.611,1535.99,1418.896,1448.071,1411.786,1425.671,1461.813,1445.432,1428.86,1410.641,1397.153,1537.157,1404.272,1516.722,1407.78,1413.747,1401.24,1419.991,1526.582,1473.895,1464.314,1398.007,1430.161,1410.202,1436.694,1439.944,1436.36,1429.782,1468.184,1416.871,1412.419,1448.535,1424.067,1454.873,1425.883,1438.188,1417.541,1427.798,1434.249,1428.185,1428.789,1417.616,1434.118,1450.773,1421.591,1516.627,1432.906,1429.722,1448.814,1419.089,1450.129,1454.697,1466.924,1409.18,1424.934,1437.502,1427.033,1424.38,1425.134,1406.641,1466.375,1507.978,1419.112,1431.142,1419.939,1414.344,1449.929,1443.062,1477.198,1443.474,1421.375,1426.008,1428.891,1442.005,1430.303,1451.031,1425.885,1442.909,1438.698,1406.777,1435.098,1460.289,1460.826,1436.594,1439.857,1439.463
14,3288.369,2021,6,1,4,3,3,1,0,0,2,2,2,1,0,10,10,10,3,1,3,5,8,9,5,6,1,20,1,1,,,,,,4,0,0,1,3,3357.488,3444.047,3637.966,3128.303,3082.937,3085.719,3631.823,3542.736,330.0923,3742.868,3724.135,4105.224,3228.104,3169.371,3250.068,3524.957,3330.519,3225.661,3243.5,3189.444,3540.12,3350.365,3222.883,3198.615,3224.57,3628.557,3206.002,3440.888,3185.347,3213.116,3184.337,3217.821,3374.845,3306.048,3536.996,3187.198,3238.068,3186.097,3291.008,3319.131,3289.505,3266.419,3364.478,3251.743,3243.143,3318.703,3247.799,3261.423,3225.055,3354.989,3268.196,3258.481,3335.501,3278.853,3328.389,3317.23,3351.741,3310.356,3245.298,3303.327,3285.36,3250.741,3291.482,3220.576,3306.801,3325.002,3255.914,3295.974,3272.391,3287.093,3270.773,3282.353,3268.067,3264.8,3333.438,3341.869,3280.723,3310.813,3285.582,3259.929,3280.948,3318.75,3295.403,3256.828,3254.111,3282.773,3270.346,3285.068,3272.359,3354.694,3261.922,3363.905,3264.948,3274.731,3252.368,3267.133,3326.032,3401.517,3290.701,3295.927
15,1969.839,2021,5,1,4,1,3,1,0,0,2,2,3,1,0,8,8,8,3,1,2,4,0,3,0,3,1,20,1,2,,,,,,3,0,0,1,2,2012.672,1984.359,2127.832,1896.534,1887.14,1917.874,2263.61,2177.327,190.5193,2290.965,2258.699,2468.092,1946.245,1913.957,1973.519,2057.654,1950.673,1961.364,1967.785,1894.73,2058.091,1970.069,1988.972,1930.578,1929.68,2085.411,1938.063,2065.604,1926.436,1919.872,1936.133,1973.52,2046.518,2000.386,1990.011,1919.564,1968.825,1932.089,1982.754,1969.803,1960.53,1974.123,1977.281,1958.165,1962.482,1963.394,1953.73,1967.08,1935.158,1995.823,1981.959,2007.149,1954.866,1954.776,1976.656,1951.31,1977.338,1962.901,1971.53,1950.264,1979.08,1968.348,1948.578,2129.128,1951.902,1952.721,2009.218,1931.987,1921.902,1938.687,1970.795,1949.253,1976.036,1983.849,2005.02,1957.895,1955.591,1956.989,1994.996,1980.497,1991.949,1967.118,1969.056,1966.216,1962.211,1995.884,1932.75,1951.827,1965.792,1983.534,1967.012,1969.06,1960.235,1962.253,1982.314,1960.558,1933.715,1979.651,1975.236,1950.252
16,13647.07,2021,1,1,4,1,1,0,0,0,3,3,6,5,0,10,10,8,5,1,4,3,8,10,10,7,0,5,3,1,,,,,,4,0,0,2,2,14109.45,13912.93,15377.92,12898.22,12801.25,13181.95,15442.07,15016.75,1377.775,15080.4,15395.7,17433.41,13624.72,13261.05,13357.84,14471.35,13401.59,13425.32,13597.22,13474.04,14127.02,13622.27,13912.96,13245.58,13537.31,14634.95,13407.53,13961.43,13281.09,13349.25,13296.9,13670.34,14331.28,13673.29,14098.22,13332.18,13564.15,13577.77,13612.91,13657.54,13576.14,13762.62,13610.9,13470.68,13618.1,13624.43,13596.26,13594.67,13777.55,13547.38,13505.99,13586.17,13641.5,13636.92,13673.58,13538.84,13604.31,13512.07,14172.44,13548.18,13629.59,13662.5,13892.26,13320.37,13732.53,13572.89,13453.98,13583.79,14316.87,13632.57,13718.6,13763,13606.81,13371.54,13556.45,13700.55,13684.35,14061.71,13560.41,13767.38,13557.93,13632.5,13407.26,13370.02,14169.5,13621.61,13547.54,13541.49,13747.01,13486.04,13477.15,13658.88,13667.64,13423.95,13899.5,13618.66,13968.8,13361.52,13710.52,13425.43
17,2916.332,2021,4,0,1,1,1,0,0,0,3,2,9,1,0,10,7,7,4,2,3,5,6,8,4,6,0,16,1,2,,,,,,5,1,0,2,4,2945.95,2927.36,3293.873,2800.813,2770.06,2901.44,3239.053,3197.496,304.2007,3209.969,3277.136,3619.988,2862.173,2837.477,2896.47,3132.164,2793.225,2871.575,2881.05,2948.888,2987.711,2987.484,3041.321,2865.501,2836.82,3195.972,2820.912,2996.567,2852.062,2792.797,2876.927,2876.481,3039.763,2952.768,2899.872,2879.21,2878.715,2903.8,2895.067,2904.16,2915.833,2897.688,2921.462,2883.524,2904.056,2928.536,2984.605,2947.121,2930.383,2969.897,2900.881,2906.598,2935.714,2954.045,2917.143,2928.97,2918.769,2878.991,2903.989,2918.982,2903.081,2899.758,2934.875,2894.811,2878.454,2896.233,2949.884,2955.583,2825.916,2891.123,2867.594,3041.185,2879.401,2918.507,2893.098,2928.484,2857.413,2966.864,2996.573,2895.977,2913.792,2916.258,2929.61,2905.777,2934.167,2903.061,2905.868,2955.018,2870.35,2916.929,2907.758,2824.732,2946.16,3015.247,2990.226,2875,2865.326,2934.351,2869.227,2868.836
18,9848.456,2021,6,1,4,4,3,1,0,0,2,2,1,6,0,7,8,8,3,1,3,3,8,9,7,6,1,19,1,1,,,,,,3,0,0,1,2,9938.111,9786.474,10425.66,9502.275,9521.881,9548.632,11536.34,11080.98,995.4073,11276.43,11150.67,11857.3,9695.562,10131.61,9658.812,10147.99,9878.406,9726.143,9746.368,9609.837,10094.23,9822.654,10126.64,9824.868,9607.712,10071.08,9624.098,10125.18,9732.331,9758.003,9676.37,9789.572,9985.301,9907.348,9883.828,10111.67,9719.201,9846.986,9804.551,9798.339,9739.663,9946.655,9779.017,10057.05,10162.17,9924.512,9798.881,9794.926,9647.562,9912.141,9766.177,9902.392,9805.45,9992.938,9697.667,9731.561,9815.669,10041.46,9694.271,9733.309,9727.737,9758.381,9689.531,10138.73,9725.547,9955.181,9820,9744.898,9775.63,9964.823,9995.146,9729.442,9732.85,9906.165,10060.44,9837.381,9951.812,10266.75,9736.688,9734.584,9773.081,9790.404,9928.865,9689.219,9758.858,9821.704,10123.36,9716.529,9888.093,9954.265,10021.88,9736.484,9738.444,9843.05,9859.636,9796.982,9780.031,9966.385,9823.16,9695.663
19,509.5721,2021,2,0,1,1,1,1,1,1,3,1,7,5,0,4,9,8,5,1,5,5,7,7,5,6,0,12,3,3,,,,,,9,0,1,2,3,533.7123,517.9653,575.6364,478.3875,486.12,499.1742,476.4975,472.8792,623.1481,462.0106,491.1644,552.7248,604.2632,625.6832,609.4749,54.89418,622.6622,513.8581,499.7453,479.8696,535.1646,531.2621,531.7531,492.7247,485.9064,559.9893,494.9236,537.777,496.8994,491.4546,502.0757,500.3013,529.9612,528.2942,517.502,488.5222,503.5159,499.0183,509.2549,504.3519,504.1469,510.5719,498.0835,521.6577,521.4984,507.0913,507.9968,516.4347,494.7271,506.3218,513.9288,516.9981,525.8996,504.5342,509.5995,506.9565,507.0475,500.4889,503.0709,506.6157,502.619,506.3847,515.1759,523.6754,503.9161,511.1287,507.6027,509.6121,497.496,507.0074,505.8347,523.8531,517.704,525.1206,506.6519,493.8801,508.2444,482.0654,514.198,518.6391,517.0186,518.0413,512.9446,521.6568,510.5037,513.6735,508.8136,501.1299,506.9943,489.7121,513.9817,506.1607,513.9217,527.1522,513.0283,505.8759,502.622,503.41,512.4754,490.7815
20,1576.869,2021,5,0,4,1,3,1,0,0,2,3,4,1,0,10,10,10,5,1,2,5,8,9,5,2,1,20,1,1,,,,,,5,0,0,1,2,1602.948,1641.312,1712.124,1502.59,1511.921,1514.273,1507.263,1434.495,1868.422,1513.36,1524.392,1667.605,1902.213,1842.663,1915.587,168.4707,1952.018,1571.911,1558.214,1519.18,1681.378,1602.961,1561.002,1536.03,1546.393,1705.352,1551.326,1637.773,1534.213,1531.716,1533.027,1545.312,1605.607,1602.154,1684.618,1541.233,1564.86,1528.414,1582.017,1587.744,1574.745,1574,1597.989,1556.199,1568.902,1588.363,1555.459,1560.854,1540.62,1600.509,1589.939,1576.598,1605.66,1565.072,1593.948,1595.697,1601.442,1569.293,1558.88,1577.148,1563.983,1550.441,1568.002,1568.637,1580.487,1600.599,1548.405,1584.635,1552.281,1586.964,1564.284,1589.071,1575.021,1583.708,1606.763,1586.4,1579.56,1566.77,1577.156,1580.172,1582.49,1599.741,1571.245,1563.64,1560.025,1576.003,1561.201,1570.307,1565.111,1593.462,1567.886,1602.698,1568.7,1580.615,1560.56,1571.401,1576.889,1623.027,1590.853,1565.228
21,1738.872,2021,2,0,4,4,3,0,1,4,2,2,10,1,1,9,9,8,3,2,5,4,7,6,3,5,1,16,3,2,,,,,,1,0,1,1,3,1834.051,1732.467,1890.904,1676.335,1705.146,1686.427,1675.308,1636.866,1946.603,1662.597,1687.291,1841.204,2116.464,2095.809,2091.621,184.8644,2096.785,1732.643,1718.832,1708.888,1779.596,1733.507,1766.146,1720.503,1714.045,1831.029,1711.836,1764.683,1703.608,1695.55,1728.864,1725.524,1836.847,1778.968,1757.568,1713.224,1727.005,1689.094,1751.915,1745.368,1745.594,1744.429,1739.303,1729.853,1727.991,1732.92,1717.202,1737.843,1712.91,1747.075,1744.842,1769.465,1760.839,1737.689,1737.264,1766.346,1726.226,1728.171,1743.307,1717.921,1793.967,1717.599,1732.473,1737.832,1732.017,1738.449,1747.857,1711.997,1747.559,1744.677,1732.039,1740.061,1736.236,1760.704,1718.282,1732.224,1754.945,1704.742,1738.173,1725.212,1744.093,1751.075,1715.5,1746.25,1716.245,1769.672,1706.703,1745.222,1730.558,1715.993,1777.194,1719.619,1736.399,1735.202,1744.687,1757.278,1743.547,1772.213,1752.335,1704.353
