id,surfweight,year,age,sex,ethnicity,edu,lfs,partner,parent,number_children,tenure,hh_income,nzdep,migrant,disability,home_afford,life_satisfy,life_worth,health,tereo,gov_tereo,selfactual,trust,trust_police,trust_media,trust_parliament,voted,mwb,housecold,housedamp,moves,access_med,access_green,access_pt,neigh_connect,neigh_crime,victim,discrim,lonely,hardtalk
143,11604.84,2021,4,1,4,2,1,1,0,0,1,2,7,1,1,10,6,7,2,1,4,5,7,8,5,4,0,19,99,2,,,,,,9,0,0,1,2
144,15660.04,2021,4,0,4,4,1,1,1,1,1,3,8,5,0,8,8,8,3,1,5,3,7,10,8,9,1,8,3,2,,,,,,1,0,0,2,1
145,408.6962,2021,1,0,1,1,3,0,0,0,3,3,6,5,0,7,9,10,3,1,3,5,9,10,7,8,0,13,2,1,,,,,,8,1,0,3,3
146,14324.34,2021,3,0,4,3,1,0,1,1,1,2,9,1,0,8,7,7,2,2,4,4,7,10,5,6,1,15,1,1,,,,,,5,1,1,1,4
147,17795.49,2021,6,1,4,3,1,1,0,0,2,3,3,1,0,10,8,10,4,1,1,2,5,7,0,0,1,20,1,1,,,,,,5,0,0,1,1
148,9029.79,2021,5,0,4,1,1,1,1,1,2,3,9,1,0,9,10,8,4,1,4,4,7,10,5,8,1,16,2,2,,,,,,5,1,0,1,1
149,4631.605,2021,5,1,3,4,1,1,0,0,1,1,4,2,0,0,10,10,5,2,2,5,6,9,1,2,1,20,1,1,,,,,,5,0,0,1,1
150,1827.876,2021,5,1,3,2,1,0,0,0,2,2,4,1,0,6,10,6,2,2,2,4,5,10,5,6,1,11,1,2,,,,,,4,0,0,1,1
151,1827.876,2021,5,0,3,3,1,0,0,0,2,1,7,1,0,2,8,7,3,1,3,3,1,1,2,3,1,8,3,1,,,,,,3,0,1,1,5
152,2165.902,2021,5,1,4,2,3,1,0,0,1,3,9,1,0,9,8,8,4,1,2,4,6,7,7,9,1,12,2,2,,,,,,1,0,0,1,3
153,17538.14,2021,6,0,4,1,1,0,0,0,2,1,10,1,0,7,7,6,3,1,3,3,5,7,4,6,1,18,1,1,,,,,,3,0,0,2,3
154,1967.197,2021,6,1,2,4,1,0,0,0,2,1,6,6,0,5,7,8,3,1,1,5,7,7,5,5,1,18,1,1,,,,,,4,0,0,2,5
155,234.8279,2021,2,0,2,4,3,1,1,2,3,3,8,5,0,4,10,10,2,1,5,3,4,8,8,8,1,7,2,2,,,,,,1,0,1,2,1
156,689.0036,2021,4,1,1,3,1,1,1,2,3,3,10,1,0,10,3,8,1,3,4,5,0,5,0,0,1,7,3,2,,,,,,1,0,1,3,2
157,8967.376,2021,2,1,4,1,1,1,1,2,3,2,3,1,0,5,6,7,3,1,4,5,6,7,3,5,0,6,3,1,,,,,,3,1,0,3,3
158,2779.35,2021,2,1,4,1,3,0,0,0,3,1,9,1,0,9,5,7,4,3,4,5,7,9,5,7,1,9,1,1,,,,,,8,1,0,2,3
159,13706.69,2021,3,1,4,2,1,1,1,2,1,2,1,6,0,3,7,7,3,2,3,4,8,8,5,6,0,17,1,1,,,,,,9,0,0,3,3
160,1613.51,2021,6,0,3,3,1,1,0,0,1,3,3,6,1,8,7,4,1,1,2,5,8,10,7,8,1,18,1,1,,,,,,8,0,0,1,3
161,192.6872,2021,2,1,3,4,2,1,1,4,1,2,6,1,0,7,8,8,3,2,3,4,8,9,5,7,1,10,2,2,,,,,,4,0,0,1,3
162,4568.91,2021,2,0,4,4,1,0,1,2,1,1,5,1,0,7,5,7,4,1,4,5,5,9,3,5,1,8,2,1,,,,,,3,0,0,1,3
163,4568.91,2021,3,0,4,4,1,0,1,1,1,1,5,5,0,6,8,7,5,1,2,4,8,8,6,8,1,16,1,1,,,,,,8,0,0,1,1
164,2707.857,2021,6,1,4,1,1,1,0,0,2,1,6,2,0,5,9,9,4,1,1,5,10,10,1,4,1,13,3,1,,,,,,5,0,0,1,2
165,2924.008,2021,6,0,4,1,1,0,0,0,2,1,8,1,0,8,6,6,4,1,4,5,8,8,6,6,1,14,3,1,,,,,,3,0,0,3,4
166,2179.559,2021,3,0,1,4,1,1,1,2,1,2,6,1,0,8,8,8,3,2,5,3,5,7,3,3,1,18,2,1,,,,,,5,0,0,1,1
167,4194.121,2021,6,0,4,1,1,1,0,0,2,1,1,1,1,4,4,9,3,1,1,5,8,9,7,8,1,17,2,1,,,,,,4,0,0,1,2
168,5432.042,2021,3,0,4,3,1,0,1,1,1,3,8,6,0,8,10,10,5,1,4,4,0,1,0,1,1,14,1,1,,,,,,8,0,1,1,2
